iteration,rho0,B_A,K,m_ratio,E_sym,objective_value
1,0.1683,-16.77999355,398.995,0.7425,26.1,353.3492383330236
2,0.1683,-16.77999355,398.995,0.7425,26.361,359.8203060120446
3,0.1683,-16.77999355,398.995,0.75,26.1,272.41578478623234
4,0.1683,-16.77999355,398.995,0.75,26.361,277.2226557117648
5,0.1683,-16.77999355,401.0,0.7425,26.1,344.58287356352366
6,0.1683,-16.77999355,401.0,0.7425,26.361,351.0590096618873
7,0.1683,-16.77999355,401.0,0.75,26.1,265.15857672228674
8,0.1683,-16.77999355,401.0,0.75,26.361,269.9470220122463
9,0.1683,-16.613855,398.995,0.7425,26.1,363.2874634920422
10,0.1683,-16.613855,398.995,0.7425,26.361,369.9421966246178
11,0.1683,-16.613855,398.995,0.75,26.1,279.1358117171267
12,0.1683,-16.613855,398.995,0.75,26.361,284.22308079265184
13,0.1683,-16.613855,401.0,0.7425,26.1,354.4637118569515
14,0.1683,-16.613855,401.0,0.7425,26.361,361.1292237317909
15,0.1683,-16.613855,401.0,0.75,26.1,271.63668950138566
16,0.1683,-16.613855,401.0,0.75,26.361,276.56352618786946
17,0.1683,-16.44771645,398.995,0.7425,26.1,373.621307449126
18,0.1683,-16.44771645,398.995,0.7425,26.361,380.4672746093917
19,0.1683,-16.44771645,398.995,0.75,26.1,286.57498671575104
20,0.1683,-16.44771645,398.995,0.75,26.361,291.8059112398135
21,0.1683,-16.44771645,401.0,0.7425,26.1,364.7573780827571
22,0.1683,-16.44771645,401.0,0.7425,26.361,371.61737598129247
23,0.1683,-16.44771645,401.0,0.75,26.1,278.5949295851433
24,0.1683,-16.44771645,401.0,0.75,26.361,283.8071305587042
25,0.17,-16.77999355,398.995,0.7425,26.1,350.52025167888416
26,0.17,-16.77999355,398.995,0.7425,26.361,357.1292921930889
27,0.17,-16.77999355,398.995,0.75,26.1,271.2541065729661
28,0.17,-16.77999355,398.995,0.75,26.361,276.2898373989544
29,0.17,-16.77999355,401.0,0.7425,26.1,341.5832878011519
30,0.17,-16.77999355,401.0,0.7425,26.361,348.20148715897545
31,0.17,-16.77999355,401.0,0.75,26.1,263.308262426341
32,0.17,-16.77999355,401.0,0.75,26.361,268.3224344649531
33,0.17,-16.613855,398.995,0.7425,26.1,360.2981184296109
34,0.17,-16.613855,398.995,0.7425,26.361,367.0976190018792
35,0.17,-16.613855,398.995,0.75,26.1,278.27347817704003
36,0.17,-16.613855,398.995,0.75,26.361,283.4516295154719
37,0.17,-16.613855,401.0,0.7425,26.1,351.3073923432569
38,0.17,-16.613855,401.0,0.7425,26.361,358.1194229753806
39,0.17,-16.613855,401.0,0.75,26.1,270.25642435824824
40,0.17,-16.613855,401.0,0.75,26.361,275.41477385877454
41,0.17,-16.44771645,398.995,0.7425,26.1,370.50017334812594
42,0.17,-16.44771645,398.995,0.7425,26.361,377.4973554260244
43,0.17,-16.44771645,398.995,0.75,26.1,285.5518298315659
44,0.17,-16.44771645,398.995,0.75,26.361,290.8781234564563
45,0.17,-16.44771645,401.0,0.7425,26.1,361.4519438041396
46,0.17,-16.44771645,401.0,0.7425,26.361,368.465532843378
47,0.17,-16.44771645,401.0,0.75,26.1,277.4625067531862
48,0.17,-16.44771645,401.0,0.75,26.361,282.7708902355458
49,0.1692546683385575,-16.621685322041408,399.23787728766496,0.7444985803297838,26.377866748119693,343.3480516016003
50,0.17,-17.0,212.0,0.55,26.1,2000258.3286356344
51,0.145,-15.6,350.52877946077007,0.75,44.0,2000274.2346768565
52,0.16917407042370944,-16.650968320218425,400.04050398039465,0.7490845952297873,26.233636203816346,284.66947079862797
53,0.16922576861874936,-16.613796338934915,400.00173081142714,0.7492636600395446,26.22867379888159,284.588860916054
54,0.16917490561325255,-16.630444113167997,400.02232764823106,0.7489427427748583,26.229567988211762,286.98180470998784
55,0.1692871508326947,-16.7515794514559,399.88537184870233,0.75,26.250502622515327,272.21460482915467
56,0.16915986672166067,-16.696485377823088,399.63978438626987,0.75,26.22477187986004,275.1046145374404
57,0.16925638357497833,-16.56724788691928,399.62918037849965,0.75,26.1,278.2637210478361
58,0.16742088173299555,-16.73383644984878,399.31526921832096,0.75,26.1,274.1596320819479
59,0.1690818441512607,-16.947184743298426,399.96154536369363,0.75,26.1,261.5186101855096
60,0.16925445025287242,-16.748541360261534,399.73304300509506,0.75,26.17410058766967,271.4938885724857
61,0.17,-15.816066282608324,399.84517324594066,0.75,26.1,312.37029699558644
62,0.16901123573481583,-16.887926125055706,400.0807171876462,0.75,26.235292817891462,265.83626217772076
63,0.1692153573933536,-16.653826939187947,399.88573602813995,0.7499474319712044,26.225318326059096,276.4717389391504
64,0.16917713377138538,-16.61138072378514,400.03015671719476,0.7499768865681091,26.222009083324203,277.4112502987409
65,0.16888909541371458,-16.953204852310424,400.02821851341815,0.75,26.22922559706624,263.6550818897453
66,0.16914070497696782,-16.635327866598384,400.01166092379333,0.7499696026418639,26.226222723007353,276.6124752467864
67,0.16918398161568188,-16.63049998202983,400.049257350309,0.7494482181593232,26.233121031495187,281.9372917141343
68,0.1693775436708411,-16.609438607321977,400.020393594597,0.7499991335480247,26.249088593853426,277.73687729566393
69,0.1675424067335526,-16.35586118675036,399.5102987719887,0.75,26.196582212678297,290.9012195237359
70,0.16904816071547962,-16.73341396954389,400.00542488143407,0.7499386305822155,26.230747202394458,272.8353289631737
71,0.16906501538827168,-16.52136613015878,400.0019007136225,0.7492178831387337,26.223598688534643,289.1943121620275
72,0.16909669343860775,-16.551583341384493,399.9709454475138,0.75,26.227402377108046,280.20002484199875
73,0.1697543297971857,-16.68173421003068,400.29849016266957,0.75,26.215829790094254,272.61278310079155
74,0.16879451572894555,-16.136669176014443,400.024831695036,0.75,26.227185123274214,299.46474878926597
75,0.16940126052763893,-16.922945783021348,399.9918202674172,0.75,26.226345936423552,264.1489590423455
76,0.16845066589989424,-16.587510603289374,399.9821858925477,0.7499917148399255,26.209591239413648,278.56637432074945
77,0.16932756419354794,-16.617704376569332,399.950683047065,0.7498670391049916,26.231859484971412,278.65086511274615
78,0.16910684014156413,-16.560704861644222,399.67203222119775,0.749164507096085,26.225111242155215,289.26070280452905
79,0.16913353062448067,-16.778506801574213,399.96447914269504,0.75,26.254608566529534,270.90530503099285
80,0.1692551791817384,-16.654838374493064,400.0253528953565,0.7499787011518224,26.222619664292786,275.4927609162801
81,0.16945756851019259,-16.44965099657821,400.1938090694861,0.75,26.203112952307837,283.15142443086154
82,0.1691109711675829,-16.617549224078218,399.9971484119475,0.7499972078601235,26.22293147483865,277.12379601236836
83,0.1693019851671941,-16.602131396004147,400.1558387322592,0.75,26.229871641374288,277.1730394166723
84,0.16384684518607776,-17.0,399.9260276489993,0.7459811274385174,26.23103220265818,310.0812852721024
85,0.16923632035813202,-16.64025474372031,400.01425306349995,0.75,26.238180327701542,276.2734170344242
86,0.17,-16.801933159974414,399.8377264123062,0.75,26.225495945817585,269.40856366993376
87,0.17,-16.853356499461988,399.6247375804185,0.75,26.148952250004793,266.6714197499582
88,0.17,-16.76054752885951,400.01880193433055,0.75,26.23172683562023,270.5362890838845
89,0.168847983343465,-16.744498686066848,400.09359951288127,0.75,26.206029588932783,271.01973749357694
90,0.16998866459660528,-16.637928635699947,399.9802527261277,0.75,26.227423000090823,275.8187496249265
91,0.16940411025783175,-16.533340266895642,400.02712386800386,0.75,26.23341706778328,280.72500549593116
92,0.17,-16.664933565313795,399.63949046393657,0.75,26.100019031945894,273.51564707434454
93,0.16912571821850642,-16.756439193066775,400.0700059263317,0.75,26.224840627196354,270.85802935760347
94,0.1693880865051791,-16.70312155464088,400.01769180237073,0.75,26.227380108918705,273.2593993181623
95,0.16996584937903855,-16.998087565226157,399.66827030598444,0.75,26.12445184460841,260.2340533781509
96,0.16991964172584828,-17.0,399.66182840386114,0.75,26.129592699099373,260.3030267122502
97,0.16999252524720487,-16.657167339406183,400.13241929259,0.75,26.230465161962307,274.44222900014057
98,0.16998800523598784,-17.0,399.6489139586988,0.75,26.108588251032717,259.92868244088066
99,0.17,-17.0,399.5526752070063,0.75,38.849419470450385,682.3707946770372
100,0.16980282834870217,-17.0,399.65337278734876,0.75,26.1,259.8483015951034
101,0.16923266135831058,-17.0,399.7191089330861,0.75,26.1,260.24439215956045
102,0.14527454130711837,-16.192917057830805,399.7106015002771,0.75,26.1,346.9337752090448
103,0.145,-17.0,401.0,0.75,26.1,288.08196459168585
104,0.16154008297675046,-16.622142265000157,399.7875165899354,0.5653463618909187,26.1,3000000.0
105,0.17,-17.0,400.4727222584222,0.75,38.73948915361203,669.3693907484206
106,0.17,-16.77082571590062,400.06491070683444,0.7453562772800746,26.184695490403268,314.926154108653
107,0.17,-16.704061487900546,400.06063934823203,0.7453767966986132,26.192200454189354,318.47177868320097
108,0.17,-16.638038364902627,400.1181363384829,0.7453863390228541,26.179354355585296,321.3851478882766
109,0.16980502725744115,-16.82720548455906,400.10214668267537,0.7455170198574977,26.284944973504594,312.72447430721735
110,0.17,-16.79973768794437,399.9950239665843,0.7453238230369044,26.155200260529497,313.36811870759146
111,0.17,-16.83228545443116,399.91217651939286,0.7452793027579807,26.29536145063442,315.91232886635345
112,0.17,-16.732529528708998,399.56684526879377,0.7450795001048233,26.145510784129613,321.4729751014191
113,0.17,-16.53774685649823,385.7615362243396,0.7437370455539825,26.20208589119809,412.4377806227512
114,0.16384432455661174,-16.080302121554332,401.0,0.7460889784058647,26.375398789590523,358.69236365900036
115,0.17,-17.0,212.0,0.75,26.1,1000194.309247476
116,0.17,-16.553524699295984,386.7338747573019,0.7440533054445659,26.1,400.70328358375696
117,0.17,-16.210825771507384,386.6879822366905,0.7443983157160733,26.1,418.2415820915939
118,0.17,-16.90627085991611,386.7516112479515,0.7436109430286248,26.1,385.18707974381726
119,0.16055277857115252,-17.0,401.0,0.7464326536208721,26.1,303.05708902951517
120,0.17,-15.756925872682958,386.61857335461355,0.7431111170039967,26.1,468.19034923586787
121,0.1693674598407886,-16.999213127387105,400.9950916392502,0.7462090223566544,26.1,290.69152317905593
122,0.15599734061654488,-15.825528221251457,399.6446329852573,0.7457009760242606,26.1,403.8032980142337
123,0.17,-17.0,401.0,0.75,38.79380449884681,669.7837172392012
124,0.17,-16.999999271697796,399.6054990978601,0.7458783582387206,26.1,299.08414338681314
125,0.16986991143856395,-17.0,401.0,0.75,26.1,254.61481029990944
126,0.15803435148993206,-16.526453642096048,386.7359025185527,0.7447461972469431,33.097481747640074,697.9088771792976
127,0.17,-16.37429505754768,386.7963293768477,0.7444280225758396,26.1,406.9758712649418
128,0.17,-17.0,386.417049550638,0.7431968552652837,26.1,386.0460854863095
129,0.17,-17.0,401.0,0.7460977126897661,26.1,291.5746584161886
130,0.16924583561387574,-16.438609040105774,401.0,0.7460118671950715,26.1,320.68798895630334
131,0.145,-16.833505429110623,401.0,0.75,26.1,297.5910541587
132,0.17,-17.0,386.70517511223403,0.7442299770598853,26.1,373.37755093623673
133,0.15444511923584806,-16.465954791706185,401.0,0.75,26.1,301.86462983608527
134,0.17,-15.625809640569358,401.0,0.75,26.1,317.5688618780219
135,0.17,-17.0,401.0,0.75,26.1,254.47535629754105
136,0.17,-17.0,285.31778102731505,0.55,26.1,2000319.716255231
137,0.15971220427722999,-16.598401535752135,385.33187659208147,0.7464544871624104,32.91552242775238,641.3581744152739
138,0.17,-16.750388496711384,386.28191292165604,0.7452756606478539,26.28710350139849,381.90279143340194
139,0.17,-16.708424318072804,386.16977867626304,0.7450567219451973,26.7733186783935,399.5736242066783
140,0.17,-16.690945096696023,386.3114818625033,0.7453865877657988,26.1,379.18151329508834
141,0.17,-15.603847175442542,399.6464599849502,0.7454430492849395,26.1,386.0455407597093
142,0.1529108102326061,-16.889516146811992,386.31806962129895,0.7455596548805481,26.1,390.8117528339936
143,0.17,-16.80551501194655,386.29670747541957,0.7454875764966011,39.607054807702575,987.3145972221286
144,0.1455623605882587,-16.755381902636874,399.5618479325588,0.7455562596129728,26.1,361.54556841091386
145,0.15040935906198175,-16.069933542433652,386.268385586024,0.7454843954011514,26.1,464.7214429859286
146,0.17,-16.840043566619094,388.19669812272053,0.7458564876311321,39.429558336225085,940.8444886917355
147,0.1680467372429942,-16.33401609800233,386.56375203101027,0.7458162885009898,26.1,397.2627471272315
148,0.17,-17.0,386.536120294748,0.7456436333320035,26.1,358.5368489137656
149,0.17,-17.0,401.0,0.746058733430627,26.1,291.9476804427839
